,name,rating,reviews,type,hq,employees
0,TCS,3.9,16.1k Reviews,Public,Mumbai,10000+ employees
1,Accenture,4,14.1k Reviews,Private,Dublin ,10000+ employees
2,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai ,10000+ employees
3,Cognizant,3.9,12.1k Reviews,Private,Teaneck,10000+ employees
4,HDFC Bank,4,10.8k Reviews,Public,Mumbai,10000+ employees
5,Infosys,3.9,10.8k Reviews,Public,Bangalore,10000+ employees
6,L&T,4.1,10.2k Reviews,Public,Mumbai,10000+ employees
7,Capgemini,3.3,9.6k Reviews,Private,Paris,10000+ employees
8,Tech Mahindra,3.5,9.1k Reviews,Public,Pune,10000+ employees
9,HCL Technologies,3.7,8.7k Reviews,Public,Noida ,10000+ employees
10,Tata Motors,4.1,8.3k Reviews,Public,Pune ,10000+ employees
11,IBM,4,8.2k Reviews,Private,New York,10000+ employees
12,Reliance jio,4,7.9k Reviews,Public,Navi Mumbai ,10000+ employees
13,Genpact,4,7.6k Reviews,Private,New York,10000+ employees
14,Axis Bank,4,7.6k Reviews,Public,Mumbai,10000+ employees
15,Wipro,3.8,6.5k Reviews,Public,Bangalore ,10000+ employees
16,Concentrix Daksh Service...,4,6.2k Reviews,public,New Delhi ,10000+ employees
17,Vodafone,4.3,5.9k Reviews,Public,Berkshire,10000+ employees
18,HDB Financial Services,4,5.5k Reviews,Private,Ahmedabad,10000+ employees
19,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi ,10000+ employees
20,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai,10000+ employees
21,Amazon,4.2,4.8k Reviews,Private,Washington ,10000+ employees
22,Reliance,4.2,4.6k Reviews,Public,Mumbai,10000+ employees
23,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore,10000+ employees
24,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune,10000+ employees
25,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai,10000+ employees
26,Samsung,4.2,3.5k Reviews,Private,Seoul,10000+ employees
27,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi,10000+ employees
28,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai,10000+ employees
29,Ericsson,4.1,3.1k Reviews,Private,Stockholm,10000+ employees
30,Maruti Suzuki,4.2,3.1k Reviews,Public,New Delhi,10000+ employees
